01FHZK74A82GK0F23S80J8NTJJ,"Chuyển phát nhanh hàng hóa, tài liệu
",01F8A2DCXH5CD5Z87BKTZST1Y3,0,250,0,0,OUT_PROVINCE,30000,2024-12-27 17:14:59,2025-01-04 20:47:01
01FHZK74A82GK0F23S80J8NTJK,"Chuyển phát nhanh hàng hóa, tài liệu
",01F8A2DCXH5CD5Z87BKTZST1Y3,250.01,500,0,0,OUT_PROVINCE,38000,2024-12-27 17:14:59,2025-01-04 20:47:01
01FHZK74A82GK0F23S80J8NTJL,"Chuyển phát nhanh hàng hóa, tài liệu
",01F8A2DCXH5CD5Z87BKTZST1Y3,500.01,1000,0,0,OUT_PROVINCE,56000,2024-12-27 17:14:59,2025-01-04 20:47:01
01FHZK74A82GK0F23S80J8NTJM,"Chuyển phát nhanh hàng hóa, tài liệu
",01F8A2DCXH5CD5Z87BKTZST1Y3,1000.01,1500,0,0,OUT_PROVINCE,72000,2024-12-27 17:14:59,2025-01-04 20:47:01
01FHZK74A82GK0F23S80J8NTJN,"Chuyển phát nhanh hàng hóa, tài liệu
",01F8A2DCXH5CD5Z87BKTZST1Y3,1500.01,2000,0,0,OUT_PROVINCE,87000,2024-12-27 17:14:59,2025-01-04 20:47:01
01FHZK74A82GK0F23S80J8NTJO,"Chuyển phát nhanh hàng hóa, tài liệu
",01F8A2DCXH5CD5Z87BKTZST1Y3,2000.01,100000,500,12000,OUT_PROVINCE,87000,2024-12-27 17:14:59,2025-01-04 20:47:01
01FHZK74A82GK0F23S80J8NTJP,"Chuyển phát Hoả tốc, hẹn giờ",01F8A2DCXH5CD5Z87BKTZST1Y4,0,2000,0,0,IN_PROVINCE,38000,2024-12-27 17:22:03,2025-01-04 20:47:01
01FHZK74A82GK0F23S80J8NTJQ,"Chuyển phát Hoả tốc, hẹn giờ",01F8A2DCXH5CD5Z87BKTZST1Y4,0,2000,0,0,OUT_PROVINCE,127000,2024-12-27 17:22:03,2025-01-04 20:47:01
01FHZK74A82GK0F23S80J8NTJR,"Chuyển phát Hoả tốc, hẹn giờ",01F8A2DCXH5CD5Z87BKTZST1Y4,2000.01,100000,500,4000,IN_PROVINCE,38000,2024-12-27 17:22:03,2025-01-04 20:47:01
01FHZK74A82GK0F23S80J8NTJS,"Chuyển phát Hoả tốc, hẹn giờ",01F8A2DCXH5CD5Z87BKTZST1Y4,2000.01,100000,500,11000,OUT_PROVINCE,127000,2024-12-27 17:22:03,2025-01-04 20:47:01
01FHZK74A82GK0F23S80J8QNTD,"Chuyển phát nhanh hàng hóa, tài liệu
",01F8A2DCXH5CD5Z87BKTZST1Y3,0,250,0,0,IN_PROVINCE,13000,2024-12-27 17:14:59,2025-01-04 20:47:01
01FHZK74A82GK0F23S80J8QNTE,"Chuyển phát nhanh hàng hóa, tài liệu
",01F8A2DCXH5CD5Z87BKTZST1Y3,250.01,500,0,0,IN_PROVINCE,16000,2024-12-27 17:14:59,2025-01-04 20:47:01
01FHZK74A82GK0F23S80J8QNTF,"Chuyển phát nhanh hàng hóa, tài liệu
",01F8A2DCXH5CD5Z87BKTZST1Y3,500.01,1000,0,0,IN_PROVINCE,21000,2024-12-27 17:14:59,2025-01-04 20:47:01
