01JHNK4AS3BYN1J97HGE8PAYX3,01JHNK6CA31M2MCXBHJ7KJQ0RK,Bưu điện Bình Chánh,buu_dien_binh_chanh,buu_dien_binh_chanh@email.com,0283765489,01JHNKJ3QFN3TVED6WHW60Q76S,AVAILABLE,2025-01-16 01:30:28,2025-01-16 01:30:28
01JHNK4AS3CXYG07PTXQH2CGVE,01JHNK6CA341QC71K9SRP5671F,Bưu điện Cầu Giấy,buu_dien_cau_giay,buu_dien_cau_giay@email.com,0243786123,01JHNKJ3QF8WZC0B97RPPXT95H,AVAILABLE,2025-01-16 01:30:28,2025-01-16 01:30:28
01JHNK4AS496J5RYTHPBC9FHA9,01JHNK6CA3K4VM97JX64E82GBK,Bưu điện Thủ Đức,buu_dien_thu_duc,buu_dien_thu_duc@email.com,0288884123,01JHNKJ3QF2H7001TJF3RC9W01,AVAILABLE,2025-01-16 01:30:28,2025-01-16 01:30:28
01JHNK4AS49BZQDF4W6FBPDBWA,01JHNK6CA3CMH9BX8V59R2YEBY,Bưu điện Trung tâm Đà Nẵng,buu_dien_trung_tam_da_nang,buu_dien_trung_tam_da_nang@email.com,0236348123,01JHNKJ3QFCZA1JGN53P0WR61H,AVAILABLE,2025-01-16 01:30:28,2025-01-16 01:30:28
01JHNK4AS49R4ZBKD9ETN86M1J,01JHNK6CA3Y77XS8VB5BZBQ6P4,Bưu điện Tân Bình,buu_dien_tan_binh,buu_dien_tan_binh@email.com,0285678901,01JHNKJ3QF391NXPK7HH8D1C17,AVAILABLE,2025-01-16 01:30:28,2025-01-16 01:30:28
01JHNK4AS4DY32G26V37T0V2R9,01JHNK6CA35Y8MHW3E76Y0BYST,Bưu điện Trung tâm Hồ Chí Minh,buu_dien_trung_tam_ho_chi_minh,buu_dien_trung_tam_ho_chi_minh@email.com,0283948123,01JHNKJ3QF55X9XS6KET93G3K5,AVAILABLE,2025-01-16 01:30:28,2025-01-16 01:30:28
01JHNK4AS4ERRE0PK6TR8VPQF4,01JHNK6CA3T2XTFQYX7D1Q7JNZ,Bưu điện Hòa Vang,buu_dien_hoa_vang,buu_dien_hoa_vang@email.com,0235456789,01JHNKJ3QFB3MG5FY1MSSP7FBK,AVAILABLE,2025-01-16 01:30:28,2025-01-16 01:30:28
01JHNK4AS4S7E60SPXP25SFE3G,01JHNK6CA3P4M285WHZ890ZVB8,Bưu điện Trung tâm Hà Nội,buu_dien_trung_tam_ha_noi,buu_dien_trung_tam_ha_noi@email.com,0243129876,01JHNKJ3QFAVWZWH5VE7CE10K1,AVAILABLE,2025-01-16 01:30:28,2025-01-16 01:30:28
01JHNK4AS4W6TVKX8DCP7N83W8,01JHNK6CA3HWV4PBY04AMSEYA2,Bưu điện Mỹ Đình,buu_dien_my_dinh,buu_dien_my_dinh@email.com,0247891234,01JHNKJ3QFVYJNB7FD1H7D2T6R,AVAILABLE,2025-01-16 01:30:28,2025-01-16 01:30:28
01JHNK4AS4XANZDBEVCFZZSRRY,01JHNK6CA3P25PFRA3Z9YDAZHE,Bưu điện Hải Châu,buu_dien_hai_chau,buu_dien_hai_chau@email.com,0235123456,01JHNKJ3QF32XPSTQ69HTTJF7S,AVAILABLE,2025-01-16 01:30:28,2025-01-16 01:30:28
