01FHZK74A82GK0F23S80J8NTJJ,,01F8A2DCXH5CD5Z87BKTZST1Y3,0,250,0,0,OUT_PROVINCE,30000,2024-12-27 17:14:59,2024-12-27 17:22:29
01FHZK74A82GK0F23S80J8NTJK,,01F8A2DCXH5CD5Z87BKTZST1Y3,250.01,500,0,0,OUT_PROVINCE,38000,2024-12-27 17:14:59,2024-12-27 17:22:29
01FHZK74A82GK0F23S80J8NTJL,,01F8A2DCXH5CD5Z87BKTZST1Y3,500.01,1000,0,0,OUT_PROVINCE,56000,2024-12-27 17:14:59,2024-12-27 17:22:29
01FHZK74A82GK0F23S80J8NTJM,,01F8A2DCXH5CD5Z87BKTZST1Y3,1000.01,1500,0,0,OUT_PROVINCE,72000,2024-12-27 17:14:59,2024-12-27 17:22:29
01FHZK74A82GK0F23S80J8NTJN,,01F8A2DCXH5CD5Z87BKTZST1Y3,1500.01,2000,0,0,OUT_PROVINCE,87000,2024-12-27 17:14:59,2024-12-27 17:22:29
01FHZK74A82GK0F23S80J8NTJO,,01F8A2DCXH5CD5Z87BKTZST1Y3,2000.01,100000,500,12000,OUT_PROVINCE,87000,2024-12-27 17:14:59,2024-12-27 17:14:59
01FHZK74A82GK0F23S80J8NTJP,,01F8A2DCXH5CD5Z87BKTZST1Y4,0,2000,0,0,IN_PROVINCE,38000,2024-12-27 17:22:03,2024-12-27 17:22:03
01FHZK74A82GK0F23S80J8NTJQ,,01F8A2DCXH5CD5Z87BKTZST1Y4,0,2000,0,0,OUT_PROVINCE,127000,2024-12-27 17:22:03,2024-12-27 17:22:03
01FHZK74A82GK0F23S80J8NTJR,,01F8A2DCXH5CD5Z87BKTZST1Y4,2000.01,100000,500,4000,IN_PROVINCE,38000,2024-12-27 17:22:03,2024-12-27 17:22:03
01FHZK74A82GK0F23S80J8NTJS,,01F8A2DCXH5CD5Z87BKTZST1Y4,2000.01,100000,500,11000,OUT_PROVINCE,127000,2024-12-27 17:22:03,2024-12-27 17:22:03
01FHZK74A82GK0F23S80J8QNTD,,01F8A2DCXH5CD5Z87BKTZST1Y3,0,250,0,0,IN_PROVINCE,13000,2024-12-27 17:14:59,2024-12-27 17:22:36
01FHZK74A82GK0F23S80J8QNTE,,01F8A2DCXH5CD5Z87BKTZST1Y3,250.01,500,0,0,IN_PROVINCE,16000,2024-12-27 17:14:59,2024-12-27 17:14:59
01FHZK74A82GK0F23S80J8QNTF,,01F8A2DCXH5CD5Z87BKTZST1Y3,500.01,1000,0,0,IN_PROVINCE,21000,2024-12-27 17:14:59,2024-12-27 17:14:59
01FHZK74A82GK0F23S80J8QNTG,,01F8A2DCXH5CD5Z87BKTZST1Y3,1000.01,1500,0,0,IN_PROVINCE,25000,2024-12-27 17:14:59,2024-12-27 17:14:59
01FHZK74A82GK0F23S80J8QNTH,,01F8A2DCXH5CD5Z87BKTZST1Y3,1500.01,2000,0,0,IN_PROVINCE,27000,2024-12-27 17:14:59,2024-12-27 17:14:59
01FHZK74A82GK0F23S80J8QNTI,,01F8A2DCXH5CD5Z87BKTZST1Y3,2000.01,100000,500,2000,IN_PROVINCE,27000,2024-12-27 17:14:59,2024-12-27 17:14:59
